Normal,Student,Plackett,Clayton,Frank,Gumbel
-2.785503453,-2.600035673,-2.484323685,-2.780457225,-2.348131538,-2.727638916
-2.447777741,-2.418573014,-2.46294465,-2.534033504,-2.287619897,-2.443847287
-2.725229049,-2.585757601,-2.551112849,-2.663780427,-2.432008199,-2.449107004
-2.644020829,-2.543585476,-2.379912658,-2.853723325,-2.423776872,-2.627517153
-2.440131486,-2.498929609,-2.31825724,-2.483371622,-2.324348704,-2.35702519
-2.773147841,-2.679240168,-2.581857261,-2.984018145,-2.58493521,-2.570965351
-2.616057587,-2.779131377,-2.454013619,-2.8104356,-2.394450834,-2.452205392
-2.510047926,-2.448302999,-2.389250169,-2.488031792,-2.080679438,-2.26118776
-2.344520024,-2.349062952,-2.245042629,-2.469057773,-1.945768246,-2.256662787
-2.784288428,-2.946565941,-2.679567581,-2.72721501,-2.633746571,-2.687754579
-2.596737225,-2.673114047,-2.598241577,-2.858710548,-2.43419041,-2.591339088
-2.410158731,-2.466613086,-2.426635812,-2.621611234,-2.280022665,-2.694360786
